pid,condition,trial_index,type_lab,choice,choice_rt,choice_prob,points,regret,regret_rt,tree_1,tree_2,tree_3,totalpoints,final_points,tree_best,tree_medium,tree_worst,choice_goodbad,event_type,label,msg_time,i.start,i.end,sac_gstx,sac_gsty,sac_genx,sac_geny,sac_duration,fix_gstx,fix_gsty,fix_genx,fix_geny,fix_duration
64132,regret,2,feedback,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,fixation,FEEDBACK_2,8408,9207,9578,NA,NA,NA,NA,NA,852.4000244140625,596,846.20001220703125,619.5,371
64132,regret,2,feedback,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,fixation,FEEDBACK_2,8408,9705,9981,NA,NA,NA,NA,NA,614,528.70001220703125,608.5999755859375,536.70001220703125,276
64132,regret,2,feedback,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,fixation,FEEDBACK_2,8408,10026,10216,NA,NA,NA,NA,NA,910.4000244140624,622.4000244140625,899.9000244140625,627.4000244140625,190
64132,regret,2,regret,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,fixation,REGRET_2,10401,10653,10778,NA,NA,NA,NA,NA,711.9000244140625,590.70001220703125,703.70001220703125,599,125
64132,regret,2,regret,1,1.477564834000077,0.5,1,NA,NA,0.5,0.7,0.2,2,372,2,1,3,medium,fixation,REGRET_2,10401,10811,11372,NA,NA,NA,NA,NA,859.4000244140625,617.5999755859375,895.4000244140625,639.5999755859375,561
64132,regret,3,choice,1,0.45845220796763897,0.5,0,2,7.927681708009914,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,CHOICE_3,12400,12766,12808,878.29998779296875,579.4000244140625,510.2999877929687,591.79998779296875,42,NA,NA,NA,NA,NA
64132,regret,3,feedback,1,0.45845220796763897,0.5,0,2,7.927681708009914,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,FEEDBACK_3,13054,13212,13243,505.7999877929687,613.4000244140625,484.3999938964844,446.2000122070313,31,NA,NA,NA,NA,NA
64132,regret,3,feedback,1,0.45845220796763897,0.5,0,2,7.927681708009914,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,FEEDBACK_3,13054,13506,13518,466.7000122070313,420.5,464.8999938964844,399.8999938964844,12,NA,NA,NA,NA,NA
64132,regret,3,feedback,1,0.45845220796763897,0.5,0,2,7.927681708009914,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,FEEDBACK_3,13054,13643,13744,453.8999938964844,413,473.3999938964844,559.20001220703125,101,NA,NA,NA,NA,NA
64132,regret,3,feedback,1,0.45845220796763897,0.5,0,2,7.927681708009914,0.5,0.7,0.2,2,372,2,1,3,medium,saccade,FEEDBACK_3,13054,13949,14094,473.2000122070313,600.20001220703125,588,515.0999755859375,145,NA,NA,NA,NA,NA
