pid,condition,trial_index,choice,choice_rt,choice_prob,points,regret,regret_rt,tree_1,tree_2,tree_3,totalpoints,final_points,tree_best,tree_medium,tree_worst,choice_goodbad
33775,early_regret,34,3,1.1024506249814294,0.2,0,NA,NA,0.5,0.7,0.2,40,357,2,1,3,worst
33775,early_regret,35,2,0.8338133340002969,0.7,1,NA,NA,0.5,0.7,0.2,41,357,2,1,3,best
33775,early_regret,36,2,0.8865373749868013,0.7,1,NA,NA,0.5,0.7,0.2,42,357,2,1,3,best
33775,early_regret,37,1,0.6022523749852553,0.5,0,NA,NA,0.5,0.7,0.2,42,357,2,1,3,medium
33775,early_regret,38,2,0.6995064590009861,0.7,1,NA,NA,0.5,0.7,0.2,43,357,2,1,3,best
33775,early_regret,39,2,1.0103309589903802,0.7,0,NA,NA,0.5,0.7,0.2,43,357,2,1,3,best
33775,early_regret,40,3,0.4453384169610217,0.2,1,NA,NA,0.5,0.7,0.2,44,357,2,1,3,worst
33775,early_regret,41,3,0.6566365830367431,0.2,0,NA,NA,0.5,0.7,0.2,44,357,2,1,3,worst
33775,early_regret,42,1,0.4397183330147527,0.5,0,NA,NA,0.5,0.7,0.2,44,357,2,1,3,medium
33775,early_regret,43,2,0.5662397079868242,0.7,0,NA,NA,0.5,0.7,0.2,44,357,2,1,3,best
33775,early_regret,44,2,0.8600384999881499,0.7,1,NA,NA,0.5,0.7,0.2,45,357,2,1,3,best
33775,early_regret,45,3,0.4655677499831654,0.2,0,NA,NA,0.5,0.7,0.2,45,357,2,1,3,worst
33775,early_regret,46,1,0.5674506250070408,0.5,0,NA,NA,0.5,0.7,0.2,45,357,2,1,3,medium
33775,early_regret,47,1,0.48266741703264415,0.5,0,NA,NA,0.5,0.7,0.2,45,357,2,1,3,medium
33775,early_regret,48,2,0.5384826249792241,0.7,1,NA,NA,0.5,0.7,0.2,46,357,2,1,3,best
33775,early_regret,49,2,1.5066214579856023,0.7,1,NA,NA,0.5,0.7,0.2,47,357,2,1,3,best
33775,early_regret,50,2,0.8744735000072978,0.7,1,NA,NA,0.5,0.7,0.2,48,357,2,1,3,best
33775,early_regret,51,3,0.6236783749773167,0.2,1,NA,NA,0.5,0.7,0.2,49,357,2,1,3,worst
33775,early_regret,52,3,0.6047828330192715,0.2,1,NA,NA,0.5,0.7,0.2,50,357,2,1,3,worst
33775,early_regret,53,1,0.6464428339968435,0.5,1,NA,NA,0.5,0.7,0.2,51,357,2,1,3,medium
33775,early_regret,54,1,0.9099813749780878,0.5,0,NA,NA,0.5,0.7,0.2,51,357,2,1,3,medium
33775,early_regret,55,2,0.8066032499773428,0.7,1,NA,NA,0.5,0.7,0.2,52,357,2,1,3,best
33775,early_regret,56,2,1.0866567500052042,0.7,1,NA,NA,0.5,0.7,0.2,53,357,2,1,3,best
33775,early_regret,57,2,0.7813159590004943,0.7,0,NA,NA,0.5,0.7,0.2,53,357,2,1,3,best
33775,early_regret,58,3,0.5596621670410968,0.2,0,NA,NA,0.5,0.7,0.2,53,357,2,1,3,worst
33775,early_regret,59,3,1.4966320419916883,0.2,0,NA,NA,0.5,0.7,0.2,53,357,2,1,3,worst
33775,early_regret,60,2,0.7905373749672435,0.7,0,NA,NA,0.5,0.7,0.2,53,357,2,1,3,best
33799,early_regret,1,3,2.700069499995152,0.2,1,NA,NA,0.7,0.5,0.2,54,357,1,2,3,worst
33799,early_regret,2,2,1.3965862919940264,0.5,0,1,3.659857582999394,0.7,0.5,0.2,54,357,1,2,3,medium
33799,early_regret,3,2,1.256424999999581,0.5,1,NA,NA,0.7,0.5,0.2,55,357,1,2,3,medium
33799,early_regret,4,3,0.8227294999960577,0.2,0,2,1.162454500001331,0.7,0.5,0.2,55,357,1,2,3,worst
33799,early_regret,5,1,0.8995149580005091,0.7,1,NA,NA,0.7,0.5,0.2,56,357,1,2,3,best
33799,early_regret,6,1,0.968291750003118,0.7,1,NA,NA,0.7,0.5,0.2,57,357,1,2,3,best
33799,early_regret,7,2,0.8488741659966763,0.5,1,NA,NA,0.7,0.5,0.2,58,357,1,2,3,medium
33799,early_regret,8,2,1.4854789999953937,0.5,0,1,0.9352497919971938,0.7,0.5,0.2,58,357,1,2,3,medium
33799,early_regret,9,3,0.49347649999981513,0.2,0,1,0.7186338749961578,0.7,0.5,0.2,58,357,1,2,3,worst
33799,early_regret,10,2,0.6164833330039983,0.5,0,2,0.8939493329962716,0.7,0.5,0.2,58,357,1,2,3,medium
33799,early_regret,11,3,1.777507958999195,0.2,0,2,1.1775662080035545,0.7,0.5,0.2,58,357,1,2,3,worst
33799,early_regret,12,2,0.7370350829951349,0.5,1,NA,NA,0.7,0.5,0.2,59,357,1,2,3,medium
33799,early_regret,13,3,0.9557199160044548,0.2,0,1,0.5431486670058803,0.7,0.5,0.2,59,357,1,2,3,worst
33799,early_regret,14,1,0.893042499999865,0.7,1,NA,NA,0.7,0.5,0.2,60,357,1,2,3,best
33799,early_regret,15,1,0.6603448750029202,0.7,1,NA,NA,0.7,0.5,0.2,61,357,1,2,3,best
33799,early_regret,16,2,1.3282324169995263,0.5,1,NA,NA,0.7,0.5,0.2,62,357,1,2,3,medium
33799,early_regret,17,3,0.5443396250047954,0.2,0,1,0.5158717080048518,0.7,0.5,0.2,62,357,1,2,3,worst
33799,early_regret,18,1,0.6443898329962394,0.7,0,1,0.6007781669977703,0.7,0.5,0.2,62,357,1,2,3,best
33799,early_regret,19,2,0.5599915839993628,0.5,0,1,2.0624622920004185,0.7,0.5,0.2,62,357,1,2,3,medium
33799,early_regret,20,3,0.6378603749981266,0.2,0,2,0.3948934170039138,0.7,0.5,0.2,62,357,1,2,3,worst
33799,early_regret,21,2,0.6264636249979958,0.5,1,NA,NA,0.7,0.5,0.2,63,357,1,2,3,medium
33799,early_regret,22,1,0.3291281670026365,0.7,1,NA,NA,0.7,0.5,0.2,64,357,1,2,3,best
33799,early_regret,23,2,0.3006755829992471,0.5,1,NA,NA,0.7,0.5,0.2,65,357,1,2,3,medium
33799,early_regret,24,2,0.3013199579945649,0.5,1,NA,NA,0.7,0.5,0.2,66,357,1,2,3,medium
33799,early_regret,25,3,0.3385796670045238,0.2,0,2,1.115409041995008,0.7,0.5,0.2,66,357,1,2,3,worst
33799,early_regret,26,1,0.5166074589942582,0.7,1,NA,NA,0.7,0.5,0.2,67,357,1,2,3,best
33799,early_regret,27,3,0.3363417080036015,0.2,0,1,0.5318055000025197,0.7,0.5,0.2,67,357,1,2,3,worst
33799,early_regret,28,1,0.3641512920003151,0.7,0,1,0.4521290000047884,0.7,0.5,0.2,67,357,1,2,3,best
33799,early_regret,29,1,0.45069274999696063,0.7,0,1,0.46626979199936613,0.7,0.5,0.2,67,357,1,2,3,best
33799,early_regret,30,1,0.384638832998462,0.7,1,NA,NA,0.7,0.5,0.2,68,357,1,2,3,best
33799,early_regret,31,2,0.5042501669959165,0.5,1,NA,NA,0.7,0.5,0.2,69,357,1,2,3,medium
33799,early_regret,32,1,0.4545328750027693,0.7,1,NA,NA,0.7,0.5,0.2,70,357,1,2,3,best
33799,early_regret,33,1,0.33084579199930886,0.7,1,NA,NA,0.7,0.5,0.2,71,357,1,2,3,best
33799,early_regret,34,2,0.44409429100051057,0.5,1,NA,NA,0.7,0.5,0.2,72,357,1,2,3,medium
33799,early_regret,35,2,0.4892113329988206,0.5,1,NA,NA,0.7,0.5,0.2,73,357,1,2,3,medium
33799,early_regret,36,1,0.25215050000406336,0.7,1,NA,NA,0.7,0.5,0.2,74,357,1,2,3,best
33799,early_regret,37,3,0.33087870799499797,0.2,0,NA,NA,0.7,0.5,0.2,74,357,1,2,3,worst
33799,early_regret,38,1,1.476092042001255,0.7,1,NA,NA,0.7,0.5,0.2,75,357,1,2,3,best
33799,early_regret,39,2,0.6016833329995279,0.5,0,NA,NA,0.7,0.5,0.2,75,357,1,2,3,medium
33799,early_regret,40,1,0.4389299590038718,0.7,1,NA,NA,0.7,0.5,0.2,76,357,1,2,3,best
33799,early_regret,41,3,0.3339899589991546,0.2,0,NA,NA,0.7,0.5,0.2,76,357,1,2,3,worst
33799,early_regret,42,2,0.45749612499639625,0.5,0,NA,NA,0.7,0.5,0.2,76,357,1,2,3,medium
33799,early_regret,43,2,0.5522231249997276,0.5,1,NA,NA,0.7,0.5,0.2,77,357,1,2,3,medium
33799,early_regret,44,1,0.45544599999993807,0.7,1,NA,NA,0.7,0.5,0.2,78,357,1,2,3,best
33799,early_regret,45,2,0.3324213750020135,0.5,1,NA,NA,0.7,0.5,0.2,79,357,1,2,3,medium
33799,early_regret,46,3,0.35072333400603384,0.2,0,NA,NA,0.7,0.5,0.2,79,357,1,2,3,worst
33799,early_regret,47,1,0.6551657500021975,0.7,1,NA,NA,0.7,0.5,0.2,80,357,1,2,3,best
33799,early_regret,48,2,0.3101402500033146,0.5,1,NA,NA,0.7,0.5,0.2,81,357,1,2,3,medium
33799,early_regret,49,1,0.3673672500008251,0.7,1,NA,NA,0.7,0.5,0.2,82,357,1,2,3,best
33799,early_regret,50,1,0.3263516660008463,0.7,1,NA,NA,0.7,0.5,0.2,83,357,1,2,3,best
33799,early_regret,51,2,0.24458112499996787,0.5,1,NA,NA,0.7,0.5,0.2,84,357,1,2,3,medium
33799,early_regret,52,2,0.2874310840052203,0.5,0,NA,NA,0.7,0.5,0.2,84,357,1,2,3,medium
33799,early_regret,53,2,0.2626838329961174,0.5,1,NA,NA,0.7,0.5,0.2,85,357,1,2,3,medium
33799,early_regret,54,1,0.31922550000308547,0.7,1,NA,NA,0.7,0.5,0.2,86,357,1,2,3,best
33799,early_regret,55,1,0.29795287500019185,0.7,0,NA,NA,0.7,0.5,0.2,86,357,1,2,3,best
33799,early_regret,56,3,0.351517374998366,0.2,1,NA,NA,0.7,0.5,0.2,87,357,1,2,3,worst
33799,early_regret,57,3,0.35185824999643955,0.2,1,NA,NA,0.7,0.5,0.2,88,357,1,2,3,worst
33799,early_regret,58,1,0.3931715409999015,0.7,1,NA,NA,0.7,0.5,0.2,89,357,1,2,3,best
33799,early_regret,59,3,0.5213265839993255,0.2,0,NA,NA,0.7,0.5,0.2,89,357,1,2,3,worst
33799,early_regret,60,2,0.694431291994988,0.5,0,NA,NA,0.7,0.5,0.2,89,357,1,2,3,medium
33835,early_regret,1,2,8.278200249988004,0.5,1,NA,NA,0.7,0.5,0.2,90,357,1,2,3,medium
33835,early_regret,2,2,0.8852317499986384,0.5,1,NA,NA,0.7,0.5,0.2,91,357,1,2,3,medium
33835,early_regret,3,2,0.5860311249998631,0.5,1,NA,NA,0.7,0.5,0.2,92,357,1,2,3,medium
33835,early_regret,4,2,1.8969033750036033,0.5,0,1,2.834282667012303,0.7,0.5,0.2,92,357,1,2,3,medium
33835,early_regret,5,2,0.09023262500704732,0.5,0,3,1.251625040997169,0.7,0.5,0.2,92,357,1,2,3,medium
33835,early_regret,6,3,0.3955468339991058,0.2,0,3,0.992292417009594,0.7,0.5,0.2,92,357,1,2,3,worst
33835,early_regret,7,1,0.44027587500750087,0.7,0,3,0.7371119170129532,0.7,0.5,0.2,92,357,1,2,3,best
33835,early_regret,8,2,0.3262838329974329,0.5,1,NA,NA,0.7,0.5,0.2,93,357,1,2,3,medium
33835,early_regret,9,3,0.8735052090050885,0.2,0,3,1.0731479170062812,0.7,0.5,0.2,93,357,1,2,3,worst
33835,early_regret,10,2,0.4159908750007162,0.5,0,3,0.8106326249981066,0.7,0.5,0.2,93,357,1,2,3,medium
33835,early_regret,11,1,0.9047414160013432,0.7,1,NA,NA,0.7,0.5,0.2,94,357,1,2,3,best
33835,early_regret,12,2,1.49510979099432,0.5,1,NA,NA,0.7,0.5,0.2,95,357,1,2,3,medium
33835,early_regret,13,1,0.6295272089919308,0.7,1,NA,NA,0.7,0.5,0.2,96,357,1,2,3,best
33835,early_regret,14,2,0.4038712920009857,0.5,1,NA,NA,0.7,0.5,0.2,97,357,1,2,3,medium
33835,early_regret,15,1,0.7795374999986961,0.7,0,3,0.7577647919970332,0.7,0.5,0.2,97,357,1,2,3,best
33835,early_regret,16,2,0.46946487500099465,0.5,1,NA,NA,0.7,0.5,0.2,98,357,1,2,3,medium
33835,early_regret,17,2,1.223590209003305,0.5,1,NA,NA,0.7,0.5,0.2,99,357,1,2,3,medium
33835,early_regret,18,2,0.712335708012688,0.5,0,2,0.4729878340003779,0.7,0.5,0.2,99,357,1,2,3,medium
33835,early_regret,19,1,0.42094799999904353,0.7,0,2,0.6280162089969963,0.7,0.5,0.2,99,357,1,2,3,best
